DEPTH,CALI,DT,DTS,GR,NPHI,PHIE,RHOB,RT,TEMP
3500.0183,9.315,76.7292,157.1754,36.621,0.1542,0.1122,2.4602,1.791,94.5855
3500.1707,9.324,77.2473,158.9566,36.374,0.1694,0.1074,2.468,1.756,94.5897
3500.3231,9.338,77.8462,159.7642,30.748,0.1776,0.1082,2.473,1.72,94.594
3500.4755,9.329,78.3571,158.7547,29.795,0.1767,0.1254,2.4471,1.696,94.5982
3500.6279,9.328,78.656,157.132,27.346,0.1662,0.1278,2.446,1.697,94.6025
3500.7803,9.331,78.749,155.8588,24.997,0.1716,0.1276,2.449,1.738,94.6067
3500.9327,9.333,78.7119,154.366,20.609,0.1612,0.109,2.4789,1.813,94.6109
3501.0851,9.313,78.5689,153.1059,18.349,0.1586,0.1171,2.4661,1.887,94.6152
3501.2375,9.327,78.3028,151.6804,16.766,0.166,0.1286,2.4481,1.924,94.6194
3501.3899,9.334,77.9408,150.9345,17.086,0.174,0.1096,2.4779,1.933,94.6236
3501.5423,9.328,77.5879,150.3287,17.522,0.1576,0.0949,2.5009,1.95,94.6279
3501.6947,9.328,77.348,149.8986,19.357,0.1679,0.0879,2.512,1.987,94.6321
3501.8471,9.333,77.244,149.3676,19.761,0.1553,0.0917,2.506,2.023,94.6363
3501.9995,9.318,77.208,148.8907,19.038,0.1619,0.0942,2.502,2.032,94.6406
3502.1519,9.318,77.1519,148.4796,17.445,0.1536,0.0993,2.494,2.017,94.6448
3502.3043,9.318,77.0249,147.9034,17.678,0.1564,0.1108,2.4761,1.987,94.649
3502.4567,9.324,76.8119,147.1294,14.883,0.1728,0.0892,2.5099,1.946,94.6533
3502.6091,9.33,76.5289,146.3826,14.036,0.1598,0.1095,2.4781,1.908,94.6575
3502.7615,9.294,76.2189,145.9098,15.086,0.1562,0.1032,2.488,1.898,94.6617
3502.9139,9.288,75.9429,145.6157,13.141,0.1677,0.0968,2.498,1.922,94.666
3503.0663,9.288,75.7259,145.2216,12.999,0.1442,0.0993,2.494,1.957,94.6702
3503.2187,9.294,75.5519,144.6827,16.225,0.1505,0.1038,2.487,1.981,94.6745
3503.3711,9.282,75.3999,144.3086,15.091,0.1615,0.1051,2.485,2.004,94.6787
3503.5235,9.294,75.2669,143.7888,13.534,0.1393,0.0962,2.4989,2.042,94.6829
3503.6759,9.282,75.1459,143.4776,15.664,0.1505,0.1044,2.4861,2.088,94.6872
3503.8283,9.252,75.0059,142.9662,14.588,0.142,0.0892,2.5099,2.129,94.6914
3503.9807,9.221,74.8029,143.2235,16.522,0.144,0.0803,2.5239,2.157,94.6956
3504.1331,9.233,74.5379,142.579,16.917,0.1407,0.0612,2.5539,2.171,94.6999
3504.2855,9.252,74.2809,141.3235,16.023,0.154,0.0783,2.5271,2.182,94.7041
3504.4379,9.258,74.111,139.348,15.715,0.1503,0.1012,2.4911,2.203,94.7083
3504.5903,9.282,74.022,138.0165,14.412,0.1422,0.1006,2.492,2.232,94.7126
3504.7427,9.258,73.9269,136.0143,14.554,0.138,0.0917,2.5059,2.254,94.7168
3504.8951,9.276,73.7549,135.1184,14.436,0.1409,0.1095,2.4781,2.262,94.721
3505.0475,9.258,73.5139,133.045,16.466,0.1313,0.0988,2.4949,2.285,94.7253
3505.1999,9.227,73.2699,131.716,14.081,0.1409,0.0987,2.495,2.349,94.7295
3505.3523,9.264,73.0559,130.4169,15.354,0.1444,0.067,2.5448,2.441,94.7337
3505.5047,9.246,72.8329,130.2483,15.262,0.1326,0.0688,2.542,2.517,94.738
3505.6571,9.239,72.5348,130.6119,13.683,0.1218,0.084,2.5181,2.547,94.7422
3505.8095,9.221,72.1358,131.7738,13.616,0.1253,0.0593,2.5568,2.521,94.7465
3505.9619,9.233,71.6818,131.4786,16.578,0.1278,0.0871,2.5132,2.453,94.7507
3506.1143,9.221,71.2789,130.9407,16.003,0.1441,0.0904,2.508,2.397,94.7549
3506.2667,9.227,71.0119,130.5136,13.384,0.1427,0.0999,2.4931,2.403,94.7592
3506.4191,9.246,70.88,129.9797,14.152,0.1378,0.1152,2.4691,2.453,94.7634
3506.5715,9.252,70.7839,130.8924,12.811,0.1377,0.0988,2.4949,2.488,94.7676
3506.7239,9.233,70.6269,131.4414,11.258,0.1333,0.1095,2.4781,2.488,94.7719
3506.8763,9.2212,70.4207,131.9917,10.1095,0.1504,0.0811,2.5226,2.4954,94.7761
3507.0287,9.239,70.287,132.8831,12.991,0.1329,0.0942,2.5021,2.534,94.7803
3507.1811,9.209,70.297,134.3789,11.274,0.1314,0.0701,2.5398,2.572,94.7846
3507.3335,9.221,70.4031,136.8742,16.279,0.1268,0.0681,2.543,2.58,94.7888
3507.4859,9.252,70.501,138.4006,19.624,0.131,0.0631,2.551,2.578,94.793
3507.6383,9.276,70.53,139.1634,19.514,0.133,0.0643,2.549,2.593,94.7973
3507.7907,9.27,70.517,139.6335,18.477,0.1374,0.0561,2.5619,2.594,94.8015
3507.9431,9.258,70.519,140.2883,20.306,0.1397,0.0763,2.5301,2.539,94.8057
3508.0955,9.203,70.532,140.7447,22.034,0.1428,0.0796,2.525,2.447,94.81
3508.2479,9.209,70.516,140.3802,19.229,0.138,0.0961,2.4991,2.367,94.8142
3508.4003,9.203,70.4479,134.1022,15.47,0.1518,0.1114,2.4751,2.303,94.8185
3508.5527,9.227,70.3229,133.0685,17.288,0.1409,0.0892,2.5099,2.249,94.8227
3508.7051,9.276,70.1589,132.4387,13.844,0.1414,0.0885,2.511,2.232,94.8269
3508.8575,9.258,69.9909,132.0396,13.839,0.1397,0.0999,2.4931,2.292,94.8311
3509.0099,9.233,69.8439,131.4635,13.193,0.1228,0.0695,2.5408,2.418,94.8354
3509.1623,9.209,69.6909,130.8625,15.342,0.127,0.0656,2.547,2.534,94.8396
3509.3147,9.197,69.5129,131.4524,15.538,0.1185,0.0681,2.543,2.588,94.8439
3509.4671,9.227,69.4091,132.036,14.931,0.1405,0.0922,2.5052,2.611,94.8481
3509.6195,9.233,69.5492,132.0215,13.463,0.139,0.0752,2.5319,2.633,94.8523
3509.7719,9.258,69.9482,132.657,13.175,0.1251,0.072,2.537,2.618,94.8566
3509.9243,9.246,70.3741,133.9126,15.459,0.1254,0.0891,2.5101,2.549,94.8608
3510.0767,9.246,70.604,134.6854,18.767,0.1219,0.086,2.515,2.472,94.865
3510.2291,9.221,70.6861,135.2212,16.587,0.1245,0.0923,2.505,2.416,94.8693
3510.3815,9.252,70.8541,134.2084,14.939,0.1394,0.0771,2.5289,2.357,94.8735
3510.5339,9.239,71.123,134.7728,15.23,0.1192,0.0777,2.528,2.275,94.8777
3510.6863,9.246,71.1758,131.8331,20.583,0.1362,0.0802,2.524,2.225,94.882
3510.8387,9.276,70.8128,132.0119,17.298,0.1506,0.0758,2.531,2.261,94.8862
3510.9911,9.252,70.2859,127.9676,13.8,0.1383,0.091,2.5071,2.333,94.8904
3511.1435,9.276,70.02,141.7691,14.677,0.1491,0.0847,2.517,2.299,94.8947
3511.2959,9.239,70.1201,134.1983,18.268,0.1286,0.0936,2.5031,2.153,94.8989
3511.4483,9.221,70.299,135.9411,20.395,0.1543,0.0727,2.5359,2.05,94.9032
3511.6007,9.246,70.301,136.1157,17.083,0.1642,0.0859,2.5151,2.072,94.9074
3511.7531,9.252,70.2561,135.7074,15.819,0.1434,0.0898,2.509,2.162,94.9116
3511.9055,9.27,70.4582,134.9695,13.721,0.1403,0.1139,2.4711,2.19,94.9159
3512.0579,9.233,70.9092,134.3379,12.581,0.1412,0.1102,2.477,2.111,94.9201
3512.2103,9.264,71.3391,134.2144,15.465,0.1527,0.1203,2.4611,2.01,94.9243
3512.3627,9.239,71.5951,134.6976,15.233,0.1586,0.1089,2.4789,1.964,94.9286
3512.5151,9.233,71.7991,135.463,14.784,0.176,0.1286,2.4481,1.986,94.9328
3512.6675,9.252,72.1312,136.6997,13.015,0.1546,0.1172,2.4659,2.039,94.937
3512.8199,9.252,72.5652,137.6445,13.483,0.1595,0.1153,2.469,2.079,94.9413
3512.9723,9.258,72.9101,138.3185,12.993,0.1403,0.1,2.4929,2.089,94.9455
3513.1247,9.276,73.051,138.943,14.066,0.1635,0.1,2.493,2.093,94.9497
3513.2771,9.252,73.058,138.9629,13.881,0.1445,0.1108,2.4761,2.117,94.954
3513.4295,9.246,73.061,138.8749,12.069,0.1327,0.0975,2.4969,2.152,94.9582
3513.5819,9.252,73.112,140.0423,13.508,0.1318,0.1012,2.491,2.166,94.9624
3513.7343,9.233,73.176,140.4613,15.395,0.1359,0.1095,2.4781,2.149,94.9667
3513.8867,9.233,73.202,140.8184,14.791,0.1352,0.0956,2.4999,2.129,94.9709
3514.0391,9.258,73.195,141.2993,16.803,0.1531,0.074,2.5339,2.131,94.9752
3514.1915,9.252,73.2391,141.6916,17.405,0.1437,0.0707,2.539,2.15,94.9794
3514.3439,9.239,73.4321,142.5466,14.799,0.1519,0.0916,2.5061,2.16,94.9836
3514.4963,9.221,73.7661,143.3445,13.479,0.1355,0.1247,2.4542,2.142,94.9878
3514.6487,9.246,74.0831,143.9562,12.87,0.1498,0.0969,2.4978,2.102,94.9921
3514.8011,9.239,74.218,144.2751,14.938,0.1366,0.0968,2.498,2.068,94.9963
3514.9535,9.264,74.194,144.4018,15.654,0.1526,0.0917,2.506,2.063,95.0006
3515.1059,9.264,74.2131,144.1974,17.653,0.1588,0.0904,2.508,2.085,95.0048
3515.2583,9.264,74.4311,143.4716,14.894,0.1392,0.0777,2.5279,2.109,95.009
3515.4107,9.252,74.7081,142.9752,15.015,0.1367,0.0847,2.517,2.112,95.0133
3515.5631,9.246,74.8481,143.2279,18.858,0.1352,0.1018,2.4901,2.097,95.0175
3515.7155,9.233,74.9539,143.0382,18.005,0.1399,0.0784,2.5269,2.094,95.0217
3515.8679,9.258,74.8328,142.0091,15.98,0.1477,0.0688,2.5419,2.122,95.026
3516.0203,9.252,74.4828,138.1704,17.451,0.1514,0.0694,2.541,2.176,95.0302
3516.1727,9.258,74.1109,134.7447,14.461,0.1517,0.0796,2.5251,2.241,95.0344
3516.3251,9.233,73.8289,133.0708,16.626,0.1471,0.0847,2.517,2.297,95.0387
3516.4775,9.239,73.5969,134.0617,15.525,0.1376,0.105,2.4851,2.315,95.0429
3516.6299,9.209,73.3479,136.3599,15.451,0.1447,0.1025,2.489,2.279,95.0471
3516.7823,9.227,73.125,138.93,14.015,0.1375,0.1063,2.483,2.209,95.0514
3516.9347,9.27,73.0691,140.2532,14.519,0.1487,0.1178,2.4651,2.144,95.0556
3517.0871,9.227,73.2772,141.8515,13.458,0.16,0.0912,2.5068,2.108,95.0599
3517.2395,9.221,73.6952,143.763,15.706,0.1529,0.0809,2.5229,2.096,95.0641
3517.3919,9.233,74.1652,145.1293,14.385,0.1485,0.0891,2.5101,2.087,95.0683
3517.5443,9.221,74.5501,145.5406,17.297,0.1453,0.0828,2.52,2.081,95.0726
3517.6967,9.246,74.8281,145.0703,18.227,0.1439,0.091,2.5071,2.085,95.0768
3517.8491,9.276,75.0551,145.4436,15.21,0.1488,0.0841,2.518,2.093,95.081
3518.0015,9.2463,75.2553,146.262,16.8519,0.1502,0.0772,2.5287,2.0929,95.0853
3518.1539,9.276,75.368,146.2301,18.841,0.1441,0.0904,2.5081,2.087,95.0895
3518.3063,9.252,75.3459,145.0651,19.521,0.1569,0.1044,2.4861,2.086,95.0937
3518.4587,9.209,75.231,143.8405,16.83,0.1527,0.0974,2.497,2.095,95.098
